well_id,field_label,campaign_year,x,y,screen_elev_m,head_m,head_minus_screen,elevation_srtm_m,landcover_code,landcover_class,clay_pct,sand_pct,silt_pct,texture_class,P_year_of_survey_mm,P_cumul_1yr_mm,P_anomaly_1yr_pct,P_cumul_3yr_mm,P_anomaly_3yr_pct,P_cumul_5yr_mm,P_anomaly_5yr_pct,depth_to_water_approx_m,is_cropland,qc_flag_head_below_screen
HYN-2012-006,P62,2012,647910.6494,3868378.341,367.620926,377.0,9.379074000000005,424.0,40,Cropland,,,,Unknown,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,47.0,1,0
HYN-2012-007,P75,2012,649067.7598,3869420.65,355.0829988,370.1,15.017001200000038,400.0,50,Built-up,,,,Unknown,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,29.899999999999977,0,0
HYN-2012-008,P77,2012,649067.2597,3869567.95,355.0829988,372.0,16.917001200000016,395.0,40,Cropland,,,,Unknown,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,23.0,1,0
HYN-2012-009,P76,2012,648993.4126,3869756.69,340.9873937,366.1,25.11260630000004,385.0,10,Tree cover,30.9,42.2,27.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,18.899999999999977,0,0
HYN-2012-010,P133,2012,647463.1391,3869887.823,345.457799,353.8,8.342200999999989,382.0,40,Cropland,28.2,40.8,31.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,28.19999999999999,1,0
HYN-2012-011,P79,2012,648132.1244,3870266.49,330.1857376,334.4,4.214262399999996,371.0,10,Tree cover,28.6,41.6,29.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,36.60000000000002,0,0
HYN-2012-012,P117,2012,650045.3032,3870288.835,348.7118009,366.9,18.188199099999963,387.0,40,Cropland,29.3,40.7,30.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,20.100000000000023,1,0
HYN-2012-013,P78,2012,648346.8064,3870424.924,330.4040609,334.0,3.5959391000000096,370.0,10,Tree cover,29.1,42.3,28.6,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,36.0,0,0
HYN-2012-014,P80,2012,647941.8513,3870496.2,329.4,347.4,18.0,367.0,40,Cropland,29.5,41.4,29.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,19.600000000000023,1,0
HYN-2012-015,P112,2012,650862.8086,3870508.746,338.1510087,346.0,7.848991300000023,382.0,10,Tree cover,29.8,41.4,28.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,36.0,0,0
HYN-2012-016,P22,2012,648281.598,3870711.086,331.0,344.0,13.0,365.0,10,Tree cover,28.8,41.0,30.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,21.0,0,0
HYN-2012-017,P115,2012,650383.3423,3870801.289,337.2941076,358.0,20.705892399999986,370.0,10,Tree cover,30.4,42.9,26.7,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,12.0,0,0
HYN-2012-018,P116,2012,650145.0674,3870911.395,327.2568769,349.0,21.74312309999999,364.0,30,Grassland,31.0,42.5,26.5,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,15.0,0,0
HYN-2012-019,P161,2012,649299.6028,3871016.744,320.740467,335.9,15.159532999999954,365.0,10,Tree cover,29.2,40.2,30.7,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,29.100000000000023,0,0
HYN-2012-020,P145,2012,648969.1664,3871387.073,319.6421973,334.35,14.707802700000002,355.0,40,Cropland,29.6,43.1,27.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,20.649999999999977,1,0
HYN-2012-021,P83,2012,648517.7274,3871463.598,320.7592182,329.4,8.640781799999957,353.0,10,Tree cover,29.3,44.1,26.6,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,23.600000000000023,0,0
HYN-2012-022,P82,2012,648726.9254,3871910.4,317.1220299,323.8,6.677970100000039,346.0,40,Cropland,29.8,43.1,27.1,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,22.19999999999999,1,0
HYN-2012-023,P81,2012,648517.9867,3872041.431,318.3522193,327.9,9.547780699999976,344.0,40,Cropland,30.2,42.4,27.4,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,16.100000000000023,1,0
HYN-2012-024,P15,2012,648753.7526,3872365.061,311.1917815,322.0,10.80821850000001,338.0,40,Cropland,30.7,43.2,26.1,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,16.0,1,0
HYN-2012-025,P94,2012,647623.3579,3872733.878,311.1769429,320.5,9.323057100000028,333.0,40,Cropland,28.8,42.4,28.9,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,12.5,1,0
HYN-2012-026,P146,2012,649998.3239,3873622.065,298.1,303.1,5.0,320.0,40,Cropland,28.9,41.8,29.4,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,16.899999999999977,1,0
HYN-2012-027,P17,2012,649057.7253,3873690.049,301.9212057,316.0,14.078794300000029,320.0,40,Cropland,27.5,42.3,30.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,4.0,1,0
HYN-2012-028,P148,2012,650264.0912,3874247.493,290.3633953,292.5,2.136604700000021,309.0,40,Cropland,28.9,40.1,31.0,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,16.5,1,0
HYN-2012-029,P18,2012,648865.8993,3874265.806,296.8395433,310.0,13.160456699999996,316.0,40,Cropland,25.9,40.4,33.7,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,6.0,1,0
HYN-2012-030,P151,2012,649897.4941,3874296.288,293.1,298.1,5.0,312.0,40,Cropland,27.9,40.8,31.3,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,13.899999999999977,1,0
HYN-2012-031,P149,2012,650084.1573,3874481.359,293.1192088,293.7,0.5807911999999646,308.0,10,Tree cover,28.4,40.9,30.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,14.300000000000011,0,0
HYN-2012-032,P3,2012,649134.9876,3874681.571,296.0,306.0,10.0,310.0,40,Cropland,25.2,40.9,33.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,4.0,1,0
HYN-2012-033,P155,2012,650002.9628,3874816.331,286.5531448,293.2,6.6468552000000045,305.0,40,Cropland,28.5,40.2,31.3,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,11.800000000000011,1,0
HYN-2012-034,P5,2012,649250.5825,3874896.871,293.0,303.0,10.0,308.0,40,Cropland,25.2,40.9,33.8,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,5.0,1,0
HYN-2012-035,P6,2012,649217.1067,3875158.795,292.7444806,302.0,9.255519400000026,307.0,40,Cropland,27.1,39.7,33.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,5.0,1,0
HYN-2012-036,P10,2012,649693.3926,3875172.614,283.5828304,298.0,14.417169600000022,304.0,40,Cropland,27.6,39.2,33.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,6.0,1,0
HYN-2012-037,P7,2012,649248.6231,3875559.508,291.1002873,300.0,8.89971270000001,302.0,40,Cropland,26.9,39.7,33.4,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,2.0,1,0
HYN-2012-038,P156,2012,650409.8162,3875575.263,281.5792523,284.0,2.4207476999999926,295.0,40,Cropland,27.4,40.0,32.6,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,11.0,1,0
HYN-2012-039,P8,2012,650410.4196,3875992.607,275.0,285.0,10.0,293.0,50,Built-up,28.0,39.7,32.3,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,8.0,0,0
HYN-2012-040,P9,2012,650601.5947,3876390.1,272.0288445,281.0,8.971155500000009,287.0,10,Tree cover,29.2,38.2,32.5,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,6.0,0,0
HYN-2012-041,P157,2012,650201.5297,3877585.382,259.5293686,266.0,6.470631400000002,278.0,40,Cropland,28.5,37.3,34.2,Loamy,281.93999999999994,281.93999999999994,-9.381069849425751,1036.04,10.998600639853583,1819.69,16.974080304815555,12.0,1,0
HYN-2022-001,P88,2022,649566.2141,3867623.786,422.1099529,436.5,14.390047100000004,471.0,50,Built-up,28.9,38.4,32.7,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,34.5,0,0
HYN-2022-002,P70,2022,647653.67,3867749.15,377.7311356,390.0,12.268864399999984,435.0,40,Cropland,29.7,39.4,30.9,Loamy,240.2,240.2,-22.796811299681,703.3,-24.65028779775972,1306.1,-16.040728758129344,45.0,1,0
