Layer 2
X	Y	Z	Top	Bot	Thick.	
651928.875	3878202.75	170.399994	195.399994	145.399994	50	
646152.031	3877824.25	250.910004	275.910004	225.910004	50	
646456.063	3877824.25	251.670006	276.670013	226.669998	50.0000153	
646760.094	3877824.25	255.75	280.75	230.75	50	
647064.156	3877824.25	261.489998	286.48999	236.490005	49.9999847	
647368.188	3877824.25	263.440002	288.440002	238.440002	50	
647672.219	3877824.25	256.549995	281.549988	231.550003	49.9999847	
647976.25	3877824.25	254.5	279.5	229.5	50	
648280.281	3877824.25	251.910004	276.910004	226.910004	50	
648584.344	3877824.25	249.980003	274.980011	224.979996	50.0000153	
648888.375	3877824.25	249.230003	274.230011	224.229996	50.0000153	
649192.406	3877824.25	246.910004	271.910004	221.910004	50	
649496.469	3877824.25	244.519997	269.519989	219.520004	49.9999847	
649800.5	3877824.25	235.229996	255.729996	214.729996	41	
650104.531	3877824.25	232.199997	253.699997	210.699997	43	
650408.594	3877824.25	231.259995	254.259995	208.259995	46	
650712.625	3877824.25	231.970001	256.470001	207.470001	49	
651016.656	3877824.25	224.949997	249.949997	199.949997	50	
651320.719	3877824.25	202.279999	227.279999	177.279999	50	
651624.75	3877824.25	173.490005	198.490005	148.490005	50	
651928.875	3877824.25	171.110001	196.110001	146.110001	50	
646152.031	3877445.75	245.899994	270.899994	220.899994	50	
646456.063	3877445.75	250.320007	275.320007	225.320007	50	
646760.094	3877445.75	260.649994	285.649994	235.649994	50	
647064.156	3877445.75	266.450005	291.450012	241.449997	50.0000153	
647368.188	3877445.75	267.850006	292.850006	242.850006	50	
647672.219	3877445.75	265.290001	290.290009	240.289993	50.0000153	
647976.25	3877445.75	262.920006	287.920013	237.919998	50.0000153	
648280.281	3877445.75	259.519997	284.519989	234.520004	49.9999847	
648584.344	3877445.75	255.660004	280.660004	230.660004	50	
648888.375	3877445.75	250.420006	275.420013	225.419998	50.0000153	
649192.406	3877445.75	248.820007	273.820007	223.820007	50	
649496.469	3877445.75	248.399994	273.399994	223.399994	50	
649800.5	3877445.75	238.190002	259.190002	217.190002	42	
650104.531	3877445.75	235.510002	258.51001	212.509995	46.0000153	
650408.594	3877445.75	234.380005	258.880005	209.880005	49	
650712.625	3877445.75	233.209999	258.209991	208.210007	49.9999847	
651016.656	3877445.75	230.489998	262.98999	197.990005	64.9999847	
651320.719	3877445.75	212.539993	237.539993	187.539993	50	
651624.75	3877445.75	182.229996	207.229996	157.229996	50	
651928.875	3877445.75	175.070007	200.070007	150.070007	50	
646152.031	3877067.13	244.890007	269.890015	219.889999	50.0000153	
646456.063	3877067.13	252.019997	277.019989	227.020004	49.9999847	
646760.094	3877067.13	259.450005	284.450012	234.449997	50.0000153	
647064.156	3877067.13	266.559998	291.559998	241.559998	50	
647368.188	3877067.13	271.869995	296.869995	246.869995	50	
647672.219	3877067.13	271.399994	296.399994	246.399994	50	
647976.25	3877067.13	268.160004	293.160004	243.160004	50	
648280.281	3877067.13	262.959999	287.959991	237.960007	49.9999847	
648584.344	3877067.13	259.820007	284.820007	234.820007	50	
648888.375	3877067.13	254.470001	279.470001	229.470001	50	
649192.406	3877067.13	254.100006	279.100006	229.100006	50	
649496.469	3877067.13	251.25	276.25	226.25	50	
649800.5	3877067.13	240.739998	262.23999	219.240005	42.9999847	
650104.531	3877067.13	237.470001	260.970001	213.970001	47	
