well_id,x,y,lon,lat,elevation_srtm_m,landcover_code,landcover_class
HYN-2012-016,648281.598,3870711.086,-1.3757309285743669,34.968107415149724,365.0,10,Tree cover
HYN-2012-017,650383.3423,3870801.289,-1.352700636060347,34.96861041773628,370.0,10,Tree cover
HYN-2012-018,650145.0674,3870911.395,-1.355289903109219,34.96963825913902,364.0,30,Grassland
HYN-2012-019,649299.6028,3871016.744,-1.3645290039103257,34.970712916864116,365.0,10,Tree cover
HYN-2012-020,648969.1664,3871387.073,-1.3680811729332318,34.97409968247706,355.0,40,Cropland
HYN-2012-021,648517.7274,3871463.598,-1.3730111540333854,34.974855818217534,353.0,10,Tree cover
HYN-2012-022,648726.9254,3871910.4,-1.3706404596875301,34.978852487158974,346.0,40,Cropland
HYN-2012-023,648517.9867,3872041.431,-1.3729052738606613,34.98006426775678,344.0,40,Cropland
HYN-2012-024,648753.7526,3872365.061,-1.3702654444551445,34.98294677208662,338.0,40,Cropland
HYN-2012-025,647623.3579,3872733.878,-1.382580167588305,34.9864368165502,333.0,40,Cropland
HYN-2012-026,649998.3239,3873622.065,-1.3564084691384406,34.99409331406617,320.0,40,Cropland
HYN-2012-027,649057.7253,3873690.049,-1.3666990761333213,34.994845186811055,320.0,40,Cropland
HYN-2012-028,650264.0912,3874247.493,-1.3533844709204137,34.999691286106184,309.0,40,Cropland
HYN-2012-029,648865.8993,3874265.806,-1.3686972414953507,35.00006319112989,316.0,40,Cropland
HYN-2012-030,649897.4941,3874296.288,-1.3573914351127947,35.000185528648345,312.0,40,Cropland
HYN-2012-031,650084.1573,3874481.359,-1.3553132991161696,35.00182601351038,308.0,10,Tree cover
HYN-2012-032,649134.9876,3874681.571,-1.3656750436602112,35.00377114028867,310.0,40,Cropland
HYN-2012-033,650002.9628,3874816.331,-1.3561423310339569,35.00485740596106,305.0,40,Cropland
HYN-2012-034,649250.5825,3874896.871,-1.3643700985229783,35.005694740544065,308.0,40,Cropland
HYN-2012-035,649217.1067,3875158.795,-1.364689830715496,35.008060599633396,307.0,40,Cropland
HYN-2012-036,649693.3926,3875172.614,-1.359469495915293,35.00811473315438,304.0,40,Cropland
HYN-2012-037,649248.6231,3875559.508,-1.3642726368156222,35.01166786971325,302.0,40,Cropland
HYN-2012-038,650409.8162,3875575.263,-1.3515480625145502,35.01163772569275,295.0,40,Cropland
HYN-2012-039,650410.4196,3875992.607,-1.3514659481031552,35.015399440376726,293.0,50,Built-up
HYN-2012-040,650601.5947,3876390.1,-1.3492993785426706,35.018953833316786,287.0,10,Tree cover
HYN-2012-041,650201.5297,3877585.382,-1.353466705717778,35.02978726748222,278.0,40,Cropland
HYN-2022-001,649566.2141,3867623.786,-1.362218172830601,34.94009006942742,471.0,50,Built-up
HYN-2022-002,647653.67,3867749.15,-1.3831313045439118,34.9415005919977,435.0,40,Cropland
HYN-2022-003,649263.838,3867775.616,-1.365500897109286,34.94150322972226,449.0,40,Cropland
HYN-2022-004,647618.36,3867810.94,-1.3835068944670694,34.942062707658934,433.0,40,Cropland
HYN-2022-005,648365.78,3867884.23,-1.3753121598962075,34.94261416493632,450.0,50,Built-up
HYN-2022-006,649711.0035,3867988.743,-1.3605677865455705,34.9433583462167,462.0,50,Built-up
HYN-2022-007,650819.0262,3868010.572,-1.3484347326968182,34.94339077358442,471.0,40,Cropland
HYN-2022-008,649569.3019,3868051.88,-1.3621076281632285,34.943948381304295,460.0,50,Built-up
HYN-2022-009,647445.36,3868059.45,-1.3853567402251696,34.94432795113654,428.0,40,Cropland
HYN-2022-010,648149.09,3868101.96,-1.3776455260023173,34.94460846933871,440.0,50,Built-up
HYN-2022-011,646620.3,3868178.05,-1.3943677969101487,34.94551674912882,410.0,40,Cropland
HYN-2022-012,649020.5453,3868203.982,-1.3680875730271658,34.94540027138123,432.0,50,Built-up
HYN-2022-013,648179.73,3868215.55,-1.3772899348278684,34.94562787676623,435.0,30,Grassland
HYN-2022-014,648153.89,3868243.79,-1.3775677912608721,34.94588620844143,433.0,40,Cropland
HYN-2022-015,650321.7207,3868247.151,-1.3538359194269265,34.945597154457985,440.0,40,Cropland
HYN-2022-016,650967.5764,3868289.644,-1.3467581095908367,34.94588413726526,452.0,30,Grassland
HYN-2022-017,648977.4245,3868289.817,-1.3685442859494237,34.94618031770938,432.0,60,Bare/sparse vegetation
HYN-2022-018,650198.0838,3868291.121,-1.3551814471954822,34.94601182896297,449.0,40,Cropland
HYN-2022-019,648315.74,3868349.43,-1.3757772211649446,34.946814752982945,429.0,50,Built-up
HYN-2022-020,648482.17,3868357.59,-1.3739538254605377,34.94686392574335,434.0,50,Built-up
HYN-2022-021,647991.46,3868433.75,-1.3793122261333413,34.94762223082943,426.0,50,Built-up
HYN-2022-022,649073.5702,3868463.771,-1.367460681856996,34.94773416926101,432.0,50,Built-up
HYN-2022-023,649321.51,3868468.97,-1.364745485318995,34.94774451464003,439.0,50,Built-up
HYN-2022-024,650598.4135,3868500.938,-1.350761166030255,34.94784363928942,437.0,30,Grassland
HYN-2022-025,646663.3862,3868527.342,-1.3938347092700476,34.94865901889449,404.0,30,Grassland
HYN-2022-026,648757.2757,3868529.083,-1.370911604114266,34.948369379806486,424.0,50,Built-up
HYN-2022-027,647680.93,3868540.28,-1.3826928440638029,34.94862780206598,416.0,40,Cropland
HYN-2022-028,647926.37,3868598.49,-1.3799955704925224,34.94911668838668,418.0,50,Built-up
HYN-2022-029,648801.2986,3868666.38,-1.370405172871138,34.949600489821535,419.0,10,Tree cover
HYN-2022-030,648940.0961,3868738.159,-1.3688728620954218,34.95022709575779,427.0,50,Built-up
