Layer 2
X	Y	Z	Ss	Sy	PorEff.	PorTot.	
646760.094	3879717	242.950005	0.3	0.3	0.34	0.38	
647064.156	3879717	230.809998	0.3	0.3	0.34	0.38	
647368.188	3879717	229.970001	0.3	0.3	0.34	0.38	
647672.219	3879717	225.639999	0.3	0.3	0.34	0.38	
647976.25	3879717	222.75	0.3	0.3	0.34	0.38	
648280.281	3879717	221.130005	0.3	0.3	0.34	0.38	
648584.344	3879717	210.880005	0.3	0.3	0.34	0.38	
648888.375	3879717	211.119995	0.3	0.3	0.34	0.38	
649192.406	3879717	212.880005	0.3	0.3	0.34	0.38	
649496.469	3879717	214.139999	0.3	0.3	0.34	0.38	
649800.5	3879717	214.289993	0.3	0.3	0.34	0.38	
650104.531	3879717	213.149994	0.3	0.3	0.34	0.38	
650408.594	3879717	203.279999	0.3	0.3	0.34	0.38	
650712.625	3879717	165.740005	0.3	0.3	0.34	0.38	
651016.656	3879717	151.320004	0.3	0.3	0.34	0.38	
651320.719	3879717	150.460003	0.3	0.3	0.34	0.38	
651624.75	3879717	145.580002	0.3	0.3	0.34	0.38	
651928.875	3879717	73.1529999	0.299565096	0.299565096	0.339303515	0.379793387	
646152.031	3879338.5	226.710007	0.3	0.3	0.34	0.38	
646456.063	3879338.5	264.049995	0.3	0.3	0.34	0.38	
646760.094	3879338.5	255.779999	0.3	0.3	0.34	0.38	
647064.156	3879338.5	248.739998	0.3	0.3	0.34	0.38	
647368.188	3879338.5	242.829994	0.3	0.3	0.34	0.38	
647672.219	3879338.5	238.089996	0.3	0.3	0.34	0.38	
647976.25	3879338.5	234.339996	0.3	0.3	0.34	0.38	
648280.281	3879338.5	231.510002	0.3	0.3	0.34	0.38	
648584.344	3879338.5	229.389999	0.3	0.3	0.34	0.38	
648888.375	3879338.5	227.759995	0.3	0.3	0.34	0.38	
649192.406	3879338.5	218.059998	0.3	0.3	0.34	0.38	
649496.469	3879338.5	217.850006	0.3	0.3	0.34	0.38	
649800.5	3879338.5	218.350006	0.3	0.3	0.34	0.38	
650104.531	3879338.5	218.440002	0.3	0.3	0.34	0.38	
650408.594	3879338.5	217.589996	0.3	0.3	0.34	0.38	
650712.625	3879338.5	209.700005	0.3	0.3	0.34	0.38	
651016.656	3879338.5	166.660004	0.3	0.3	0.34	0.38	
651320.719	3879338.5	160.509995	0.3	0.3	0.34	0.38	
651624.75	3879338.5	172.779999	0.3	0.3	0.34	0.38	
651928.875	3879338.5	101.581501	0.299568688	0.299568688	0.339309247	0.379795297	
646152.031	3878959.88	234.769997	0.3	0.3	0.34	0.38	
646456.063	3878959.88	271.720001	0.3	0.3	0.34	0.38	
646760.094	3878959.88	265.790001	0.3	0.3	0.34	0.38	
647064.156	3878959.88	260.239998	0.3	0.3	0.34	0.38	
647368.188	3878959.88	255.079994	0.3	0.3	0.34	0.38	
647672.219	3878959.88	250.359993	0.3	0.3	0.34	0.38	
647976.25	3878959.88	246.070007	0.3	0.3	0.34	0.38	
648280.281	3878959.88	242.239998	0.3	0.3	0.34	0.38	
648584.344	3878959.88	238.839996	0.3	0.3	0.34	0.38	
648888.375	3878959.88	234.350006	0.3	0.3	0.34	0.38	
649192.406	3878959.88	230.369995	0.3	0.3	0.34	0.38	
649496.469	3878959.88	222.75	0.3	0.3	0.34	0.38	
649800.5	3878959.88	221.089996	0.3	0.3	0.34	0.38	
650104.531	3878959.88	220.850006	0.3	0.3	0.34	0.38	
650408.594	3878959.88	220.570007	0.3	0.3	0.34	0.38	
650712.625	3878959.88	220.960007	0.3	0.3	0.34	0.38	
651016.656	3878959.88	194.25	0.3	0.3	0.34	0.38	
651320.719	3878959.88	163.25	0.3	0.3	0.34	0.38	
651624.75	3878959.88	190.490005	0.3	0.3	0.34	0.38	
651928.875	3878959.88	127.589996	0.299571966	0.299571966	0.339314981	0.379796798	
646152.031	3878581.25	243.160004	0.3	0.3	0.34	0.38	
646456.063	3878581.25	270.410004	0.3	0.3	0.34	0.38	
646760.094	3878581.25	272.440002	0.3	0.3	0.34	0.38	
647064.156	3878581.25	270.070007	0.3	0.3	0.34	0.38	
647368.188	3878581.25	264.709999	0.3	0.3	0.34	0.38	
647672.219	3878581.25	256.320007	0.3	0.3	0.34	0.38	
647976.25	3878581.25	251.980003	0.3	0.3	0.34	0.38	
648280.281	3878581.25	244.209999	0.3	0.3	0.34	0.38	
648584.344	3878581.25	238.279999	0.3	0.3	0.34	0.38	
648888.375	3878581.25	236.410004	0.3	0.3	0.34	0.38	
649192.406	3878581.25	236.970001	0.3	0.3	0.34	0.38	
649496.469	3878581.25	236.029999	0.3	0.3	0.34	0.38	
649800.5	3878581.25	226.720001	0.3	0.3	0.34	0.38	
650104.531	3878581.25	225.270004	0.3	0.3	0.34	0.38	
650408.594	3878581.25	224.100006	0.3	0.3	0.34	0.38	
650712.625	3878581.25	224.529999	0.3	0.3	0.34	0.38	
651016.656	3878581.25	221.779999	0.3	0.3	0.34	0.38	
651320.719	3878581.25	171.449997	0.3	0.3	0.34	0.38	
651624.75	3878581.25	168.979996	0.3	0.3	0.34	0.38	
651928.875	3878581.25	151.190002	0.299575788	0.299575788	0.339320715	0.379798346	
646152.031	3878202.75	251.899994	0.3	0.3	0.34	0.38	
646456.063	3878202.75	261.450005	0.3	0.3	0.34	0.38	
646760.094	3878202.75	265.109993	0.3	0.3	0.34	0.38	
647064.156	3878202.75	261.600006	0.3	0.3	0.34	0.38	
647368.188	3878202.75	265.109993	0.3	0.3	0.34	0.38	
647672.219	3878202.75	257.690002	0.3	0.3	0.34	0.38	
647976.25	3878202.75	246.899994	0.3	0.3	0.34	0.38	
648280.281	3878202.75	243.559998	0.3	0.3	0.34	0.38	
648584.344	3878202.75	247.480003	0.3	0.3	0.34	0.38	
648888.375	3878202.75	244.760002	0.3	0.3	0.34	0.38	
649192.406	3878202.75	245.230003	0.3	0.3	0.34	0.38	
649496.469	3878202.75	240.899994	0.3	0.3	0.34	0.38	
649800.5	3878202.75	230.649994	0.3	0.3	0.34	0.38	
650104.531	3878202.75	228.240005	0.3	0.3	0.34	0.38	
650408.594	3878202.75	227.830002	0.3	0.3	0.34	0.38	
650712.625	3878202.75	228.850006	0.3	0.3	0.34	0.38	
651016.656	3878202.75	212.669998	0.3	0.3	0.34	0.38	
651320.719	3878202.75	179.679993	0.3	0.3	0.34	0.38	
651624.75	3878202.75	163.509995	0.3	0.3	0.34	0.38	
651928.875	3878202.75	170.399994	0.29957961	0.29957961	0.339326446	0.379800256	
646152.031	3877824.25	250.910004	0.299998736	0.299998736	0.339998014	0.379999458	
646456.063	3877824.25	251.670006	0.3	0.3	0.34	0.38	
646760.094	3877824.25	255.75	0.3	0.3	0.34	0.38	
647064.156	3877824.25	261.489998	0.3	0.3	0.34	0.38	
647368.188	3877824.25	263.440002	0.3	0.3	0.34	0.38	
647672.219	3877824.25	256.549995	0.3	0.3	0.34	0.38	
647976.25	3877824.25	254.5	0.3	0.3	0.34	0.38	
648280.281	3877824.25	251.910004	0.3	0.3	0.34	0.38	
648584.344	3877824.25	249.980003	0.3	0.3	0.34	0.38	
648888.375	3877824.25	249.230003	0.3	0.3	0.34	0.38	
649192.406	3877824.25	246.910004	0.3	0.3	0.34	0.38	
649496.469	3877824.25	244.519997	0.3	0.3	0.34	0.38	
649800.5	3877824.25	235.229996	0.3	0.3	0.34	0.38	
650104.531	3877824.25	232.199997	0.3	0.3	0.34	0.38	
650408.594	3877824.25	231.259995	0.3	0.3	0.34	0.38	
650712.625	3877824.25	231.970001	0.3	0.3	0.34	0.38	
651016.656	3877824.25	224.949997	0.3	0.3	0.34	0.38	
651320.719	3877824.25	202.279999	0.3	0.3	0.34	0.38	
651624.75	3877824.25	173.490005	0.3	0.3	0.34	0.38	
651928.875	3877824.25	171.110001	0.299583431	0.299583431	0.339332359	0.379802167	
646152.031	3877445.75	245.899994	0.299990957	0.299990957	0.339985686	0.37999659	
646456.063	3877445.75	250.320007	0.3	0.3	0.34	0.38	
646760.094	3877445.75	260.649994	0.3	0.3	0.34	0.38	
647064.156	3877445.75	266.450005	0.3	0.3	0.34	0.38	
647368.188	3877445.75	267.850006	0.3	0.3	0.34	0.38	
647672.219	3877445.75	265.290001	0.3	0.3	0.34	0.38	
647976.25	3877445.75	262.920006	0.3	0.3	0.34	0.38	
648280.281	3877445.75	259.519997	0.3	0.3	0.34	0.38	
648584.344	3877445.75	255.660004	0.3	0.3	0.34	0.38	
648888.375	3877445.75	250.420006	0.3	0.3	0.34	0.38	
649192.406	3877445.75	248.820007	0.3	0.3	0.34	0.38	
649496.469	3877445.75	248.399994	0.3	0.3	0.34	0.38	
649800.5	3877445.75	238.190002	0.3	0.3	0.34	0.38	
650104.531	3877445.75	235.510002	0.3	0.3	0.34	0.38	
650408.594	3877445.75	234.380005	0.3	0.3	0.34	0.38	
650712.625	3877445.75	233.209999	0.3	0.3	0.34	0.38	
651016.656	3877445.75	230.489998	0.3	0.3	0.34	0.38	
651320.719	3877445.75	212.539993	0.3	0.3	0.34	0.38	
651624.75	3877445.75	182.229996	0.3	0.3	0.34	0.38	
651928.875	3877445.75	175.070007	0.299586891	0.299586891	0.339338685	0.379803716	
646152.031	3877067.13	244.890007	0.299981391	0.299981391	0.339969837	0.379993176	
646456.063	3877067.13	252.019997	0.3	0.3	0.34	0.38	
646760.094	3877067.13	259.450005	0.3	0.3	0.34	0.38	
647064.156	3877067.13	266.559998	0.3	0.3	0.34	0.38	
647368.188	3877067.13	271.869995	0.3	0.3	0.34	0.38	
647672.219	3877067.13	271.399994	0.3	0.3	0.34	0.38	
647976.25	3877067.13	268.160004	0.3	0.3	0.34	0.38	
648280.281	3877067.13	262.959999	0.3	0.3	0.34	0.38	
648584.344	3877067.13	259.820007	0.3	0.3	0.34	0.38	
648888.375	3877067.13	254.470001	0.3	0.3	0.34	0.38	
649192.406	3877067.13	254.100006	0.3	0.3	0.34	0.38	
649496.469	3877067.13	251.25	0.3	0.3	0.34	0.38	
649800.5	3877067.13	240.739998	0.3	0.3	0.34	0.38	
650104.531	3877067.13	237.470001	0.3	0.3	0.34	0.38	
650408.594	3877067.13	235.640007	0.3	0.3	0.34	0.38	
650712.625	3877067.13	237.079994	0.3	0.3	0.34	0.38	
651016.656	3877067.13	240.309998	0.3	0.3	0.34	0.38	
651320.719	3877067.13	240.839996	0.3	0.3	0.34	0.38	
651624.75	3877067.13	205.860001	0.3	0.3	0.34	0.38	
651928.875	3877067.13	192.460007	0.299590301	0.299590301	0.339344418	0.379805215	
646152.031	3876688.5	241.600006	0.299971825	0.299971825	0.3399543	0.37998935	
646456.063	3876688.5	247.589996	0.3	0.3	0.34	0.38	
646760.094	3876688.5	255.450005	0.3	0.3	0.34	0.38	
647064.156	3876688.5	260.489998	0.3	0.3	0.34	0.38	
647368.188	3876688.5	270.779999	0.3	0.3	0.34	0.38	
647672.219	3876688.5	269.489998	0.3	0.3	0.34	0.38	
647976.25	3876688.5	264.100006	0.3	0.3	0.34	0.38	
648280.281	3876688.5	263.609993	0.3	0.3	0.34	0.38	
648584.344	3876688.5	259.309998	0.3	0.3	0.34	0.38	
648888.375	3876688.5	259.390007	0.3	0.3	0.34	0.38	
