Layer 2
X	Y	Z	Kx	Ky	Kz	
646152.031	3874038.75	266.390007	1E-11	1E-11	1E-11	
646456.063	3874038.75	256.829994	1E-11	1E-11	1E-11	
646760.094	3874038.75	265.230003	1E-11	1E-11	1E-11	
647064.156	3874038.75	269.220001	1E-11	1E-11	1E-11	
647368.188	3874038.75	279.829994	1E-11	1E-11	1E-11	
647672.219	3874038.75	283.640015	1E-11	1E-11	1E-11	
647976.25	3874038.75	281.869995	1E-11	1E-11	1E-11	
648280.281	3874038.75	281.160004	1E-11	1E-11	1E-11	
648584.344	3874038.75	280.51001	1E-11	1E-11	1E-11	
648888.375	3874038.75	278.350006	1E-11	1E-11	1E-11	
649192.406	3874038.75	275.239998	1E-11	1E-11	1E-11	
649496.469	3874038.75	272.25	1E-11	1E-11	1E-11	
649800.5	3874038.75	268.959999	1E-11	1E-11	1E-11	
650104.531	3874038.75	267.359993	1E-11	1E-11	1E-11	
650408.594	3874038.75	268.470001	1E-11	1E-11	1E-11	
