Layer 2
X	Y	Z	Kx	Ky	Kz	
651320.719	3881590.13	-43.6370001	1E-11	1E-11	1E-11	
651624.75	3881590.13	-72.3740005	1E-11	1E-11	1E-11	
651928.875	3881590.13	-92.1500015	1E-11	1E-11	1E-11	
646152.031	3881231.25	159.889999	1E-11	1E-11	1E-11	
646456.063	3881231.25	181.470001	1E-11	1E-11	1E-11	
646760.094	3881231.25	141.889999	1E-11	1E-11	1E-11	
647064.156	3881231.25	164.899998	1E-11	1E-11	1E-11	
647368.188	3881231.25	176.210007	1E-11	1E-11	1E-11	
647672.219	3881231.25	184.160004	1E-11	1E-11	1E-11	
647976.25	3881231.25	188.130005	1E-11	1E-11	1E-11	
648280.281	3881231.25	193.529999	1E-11	1E-11	1E-11	
648584.344	3881231.25	201.75	1E-11	1E-11	1E-11	
648888.375	3881231.25	179.479996	1E-11	1E-11	1E-11	
649192.406	3881231.25	137.77	1E-11	1E-11	1E-11	
649496.469	3881231.25	126.970001	1E-11	1E-11	1E-11	
649800.5	3881231.25	130	1E-11	1E-11	1E-11	
650104.531	3881231.25	132.389999	1E-11	1E-11	1E-11	
650408.594	3881231.25	147.960003	1E-11	1E-11	1E-11	
650712.625	3881231.25	144.440002	1E-11	1E-11	1E-11	
651016.656	3881231.25	107.118496	1E-11	1E-11	1E-11	
651320.719	3881231.25	59.3270016	1E-11	1E-11	1E-11	
651624.75	3881231.25	-0.379999161	1E-11	1E-11	1E-11	
651928.875	3881231.25	-65.4140015	1E-11	1E-11	1E-11	
646152.031	3880852.63	193.410004	1E-11	1E-11	1E-11	
646456.063	3880852.63	196.080002	1E-11	1E-11	1E-11	
646760.094	3880852.63	197.289993	1E-11	1E-11	1E-11	
647064.156	3880852.63	182.029999	1E-11	1E-11	1E-11	
647368.188	3880852.63	180.619995	1E-11	1E-11	1E-11	
647672.219	3880852.63	185.449997	1E-11	1E-11	1E-11	
647976.25	3880852.63	190.779999	1E-11	1E-11	1E-11	
648280.281	3880852.63	194.100006	1E-11	1E-11	1E-11	
648584.344	3880852.63	198.850006	1E-11	1E-11	1E-11	
648888.375	3880852.63	201.639999	1E-11	1E-11	1E-11	
649192.406	3880852.63	185.710007	1E-11	1E-11	1E-11	
649496.469	3880852.63	150.160004	1E-11	1E-11	1E-11	
649800.5	3880852.63	139.639999	1E-11	1E-11	1E-11	
650104.531	3880852.63	134.820004	1E-11	1E-11	1E-11	
650408.594	3880852.63	138.350002	1E-11	1E-11	1E-11	
650712.625	3880852.63	148.73	1E-11	1E-11	1E-11	
651016.656	3880852.63	128.399998	1E-11	1E-11	1E-11	
651320.719	3880852.63	89.4015007	1E-11	1E-11	1E-11	
651624.75	3880852.63	40.0859995	1E-11	1E-11	1E-11	
651928.875	3880852.63	-27.4359504	1E-11	1E-11	1E-11	
646152.031	3880474	201.429993	1E-11	1E-11	1E-11	
646456.063	3880474	214.059998	1E-11	1E-11	1E-11	
646760.094	3880474	208.619995	1E-11	1E-11	1E-11	
647064.156	3880474	202.910004	1E-11	1E-11	1E-11	
647368.188	3880474	205.179993	1E-11	1E-11	1E-11	
647672.219	3880474	194.270004	1E-11	1E-11	1E-11	
647976.25	3880474	194.259995	1E-11	1E-11	1E-11	
648280.281	3880474	196.210007	1E-11	1E-11	1E-11	
648584.344	3880474	199.910004	1E-11	1E-11	1E-11	
648888.375	3880474	203.130005	1E-11	1E-11	1E-11	
649192.406	3880474	206.050003	1E-11	1E-11	1E-11	
649496.469	3880474	207.320007	1E-11	1E-11	1E-11	
649800.5	3880474	182.119995	1E-11	1E-11	1E-11	
650104.531	3880474	152.130001	1E-11	1E-11	1E-11	
650408.594	3880474	140.919998	1E-11	1E-11	1E-11	
650712.625	3880474	141.740002	1E-11	1E-11	1E-11	
651016.656	3880474	149.220001	1E-11	1E-11	1E-11	
651320.719	3880474	118.231998	1E-11	1E-11	1E-11	
651624.75	3880474	78.5584984	1E-11	1E-11	1E-11	
651928.875	3880474	8.44499969	1E-11	1E-11	1E-11	
646152.031	3880095.5	211.479996	1E-11	1E-11	1E-11	
646456.063	3880095.5	227.309998	1E-11	1E-11	1E-11	
646760.094	3880095.5	217.630005	1E-11	1E-11	1E-11	
647064.156	3880095.5	215.669998	1E-11	1E-11	1E-11	
647368.188	3880095.5	217.149994	1E-11	1E-11	1E-11	
647672.219	3880095.5	213.740005	1E-11	1E-11	1E-11	
647976.25	3880095.5	202.100006	1E-11	1E-11	1E-11	
