Layer 1
X	Y	Z	Head	
646152.031	3873281.5	289.309998	1.00000002E30	
646456.063	3873281.5	308.75	1.00000002E30	
646760.094	3873281.5	308.720001	1.00000002E30	
647064.156	3873281.5	317.889999	1.00000002E30	
647368.188	3873281.5	321.434998	1.00000002E30	
647672.219	3873281.5	314.830002	310.010986	
647976.25	3873281.5	318.414993	330.460876	
648280.281	3873281.5	319.86499	327.240601	
648584.344	3873281.5	319.784988	325.357788	
648888.375	3873281.5	315.615005	324.553314	
649192.406	3873281.5	312.860001	324.601471	
649496.469	3873281.5	308.360001	324.773376	
649800.5	3873281.5	307.12001	325.104462	
650104.531	3873281.5	305.12001	325.182434	
650408.594	3873281.5	306.690002	324.594604	
650712.625	3873281.5	308.595001	303.007996	
651016.656	3873281.5	318.470001	1.00000002E30	
651320.719	3873281.5	314.839996	1.00000002E30	
651624.75	3873281.5	317.420013	1.00000002E30	
651928.875	3873281.5	311.910004	1.00000002E30	
646152.031	3872903	299.619995	1.00000002E30	
646456.063	3872903	308	1.00000002E30	
646760.094	3872903	322.48999	1.00000002E30	
647064.156	3872903	327.12999	1.00000002E30	
647368.188	3872903	326.75499	1.00000002E30	
647672.219	3872903	316.184998	312.005005	
647976.25	3872903	319.529999	333.81665	
648280.281	3872903	319.344986	331.007996	
648584.344	3872903	318.490005	329.466797	
648888.375	3872903	317.154999	328.98233	
649192.406	3872903	312.125	329.142212	
649496.469	3872903	309.589996	329.920197	
649800.5	3872903	307.199997	330.190826	
650104.531	3872903	308.979996	330.404297	
650408.594	3872903	310.955002	305.010986	
650712.625	3872903	328.829987	1.00000002E30	
651016.656	3872903	325.059998	1.00000002E30	
651320.719	3872903	323.23999	1.00000002E30	
651624.75	3872903	322.179993	1.00000002E30	
651928.875	3872903	318.279999	1.00000002E30	
646152.031	3872524.5	313.709991	1.00000002E30	
646456.063	3872524.5	303.890015	1.00000002E30	
646760.094	3872524.5	323.200012	1.00000002E30	
647064.156	3872524.5	338.395004	1.00000002E30	
647368.188	3872524.5	318.149994	313.007996	
647672.219	3872524.5	317.25	341.073975	
647976.25	3872524.5	318.319992	336.984955	
648280.281	3872524.5	318.849991	334.599487	
648584.344	3872524.5	320.445007	333.498077	
648888.375	3872524.5	318.315002	333.289429	
649192.406	3872524.5	315.264999	333.711609	
649496.469	3872524.5	311.770004	332.724365	
649800.5	3872524.5	310.779999	309.010986	
650104.531	3872524.5	313.044998	309.010986	
650408.594	3872524.5	337.820007	1.00000002E30	
650712.625	3872524.5	339.029999	1.00000002E30	
651016.656	3872524.5	336.76001	1.00000002E30	
651320.719	3872524.5	332.76001	1.00000002E30	
651624.75	3872524.5	335.670013	1.00000002E30	
651928.875	3872524.5	315.01001	1.00000002E30	
646152.031	3872146	320.619995	1.00000002E30	
646456.063	3872146	320.299988	1.00000002E30	
646760.094	3872146	315.970001	1.00000002E30	
647064.156	3872146	324.359985	1.00000002E30	
647368.188	3872146	323.660004	317.014008	
647672.219	3872146	322.525009	343.586914	
647976.25	3872146	323.675003	339.929474	
648280.281	3872146	324.970001	337.966187	
648584.344	3872146	323.474991	337.230499	
648888.375	3872146	320.544998	337.457214	
649192.406	3872146	317.904999	338.257996	
649496.469	3872146	317.095001	314.014008	
649800.5	3872146	339.069992	1.00000002E30	
650104.531	3872146	343.959991	1.00000002E30	
650408.594	3872146	350.679993	1.00000002E30	
650712.625	3872146	349.899994	1.00000002E30	
651016.656	3872146	345.440002	1.00000002E30	
651320.719	3872146	348.209991	1.00000002E30	
651624.75	3872146	341.540009	1.00000002E30	
651928.875	3872146	302.959991	1.00000002E30	
646152.031	3871767.38	336.119995	1.00000002E30	
646456.063	3871767.38	332.440002	1.00000002E30	
646760.094	3871767.38	329.790009	1.00000002E30	
647064.156	3871767.38	335	1.00000002E30	
647368.188	3871767.38	329.709991	322.015991	
647672.219	3871767.38	329.315002	345.845764	
647976.25	3871767.38	327.039993	342.73703	
648280.281	3871767.38	327.149994	341.284149	
648584.344	3871767.38	324.634995	340.952301	
648888.375	3871767.38	323.299988	341.609863	
649192.406	3871767.38	324.035004	342.762451	
649496.469	3871767.38	324.729996	344.102539	
649800.5	3871767.38	326.290009	319.015991	
650104.531	3871767.38	327.160004	320.014008	
650408.594	3871767.38	360.019989	1.00000002E30	
650712.625	3871767.38	363.170013	1.00000002E30	
651016.656	3871767.38	358.410004	1.00000002E30	
